"root",0.965,0.94,0.965
"spine1",0.965,0.94,0.965
"spine2",0.965,0.94,0.965
"spine3",0.965,0.94,0.965
"neck",0.86849993,0.47,0.579
"head",0.965,1.88,0.82025
"guybrush_jaw",0.965,0.94,0.965
"guybrush_mouthLowerInner_L",0.965,0.94,0.965
"guybrush_mouthLowerInner_R",0.965,0.94,0.965
"guybrush_mouthLowerOuter_L",0.965,0.94,0.965
"guybrush_mouthLowerOuter_R",0.965,0.94,0.965
"guybrush_tongue",0.965,0.94,0.965
"guybrush_eyeLidUpper_L",0.965,0.94,0.965
"guybrush_browOuter_L",0.965,0.94,0.965
"guybrush_browInner_L",0.965,0.94,0.965
"guybrush_browInner_R",0.965,0.94,0.965
"guybrush_browOuter_R",0.965,0.94,0.965
"guybrush_eyeLidUpper_R",0.965,0.94,0.965
"guybrush_eyeLidLower_R",0.965,0.94,0.965
"guybrush_eyeLidLower_L",0.965,0.94,0.965
"guybrush_ponyTail1",0.965,0.94,0.965
"guybrush_ponyTail2",0.965,0.94,0.965
"guybrush_ponyTail3",0.965,0.94,0.965
"268921443650948869",0.965,0.94,0.965
"14171214615009203376",0.965,0.94,0.965
"12845145974155901715",0.965,0.94,0.965
"guybrush_eyePivot_L",0.965,0.94,0.965
"guybrush_eye_L",0.965,0.94,0.965
"guybrush_eyePivot_R",0.965,0.94,0.965
"guybrush_eye_R",0.965,0.94,0.965
"guybrush_cheekUpper_L",0.965,0.94,0.965
"guybrush_cheekUpper_R",0.965,0.94,0.965
"guybrush_cheek_L",0.965,0.94,0.965
"guybrush_cheek_R",0.965,0.94,0.965
"guybrush_mouthCorner_L",0.965,0.94,0.965
"guybrush_mouthCorner_R",0.965,0.94,0.965
"guybrush_mouthUpperInner_L",0.965,0.94,0.965
"guybrush_mouthUpperInner_R",0.965,0.94,0.965
"guybrush_mouthUpperOuter_L",0.965,0.94,0.965
"guybrush_mouthUpperOuter_R",0.965,0.94,0.965
"guybrush_nose",0.965,0.94,0.965
"shoulder_L",0.86849993,0.47,0.579
"arm_L",0.965,0.94,0.965
"elbow_L",0.965,0.94,0.965
"wrist_L",0.965,0.94,1.0615
"pinkyF1_L",0.965,0.94,0.86849993
"pinkyF2_L",0.965,0.94,1.2544999
"pinkyF3_L",0.965,0.94,1.2544999
"middleF1_L",0.965,0.94,0.86849993
"middleF2_L",0.965,0.94,1.158
"middleF3_L",0.965,0.94,1.158
"indexF1_L",0.965,0.94,0.86849993
"indexF2_L",0.965,0.94,1.2544999
"indexF3_L",0.965,0.94,1.2544999
"thumb1_L",0.965,0.94,0.86849993
"thumb2_L",0.965,0.94,1.1097499
"thumb3_L",0.965,0.94,1.1097499
"ringF1_L",0.965,0.94,0.86849993
"ringF2_L",0.965,0.94,1.2544999
"ringF3_L",0.965,0.94,1.2544999
"wristTwist_L",0.965,0.94,1.0615
"elbowTwist_L",0.965,0.94,0.965
"shoulderPad_L",0.965,0.94,0.965
"shoulder_R",0.86849993,0.47,0.579
"arm_R",0.965,0.94,0.965
"elbow_R",0.965,0.94,0.965
"wrist_R",0.965,0.94,1.0615
"pinkyF1_R",0.965,0.94,0.86849993
"pinkyF2_R",0.965,0.94,1.2544999
"pinkyF3_R",0.965,0.94,1.2544999
"middleF1_R",0.965,0.94,0.86849993
"middleF2_R",0.965,0.94,1.158
"middleF3_R",0.965,0.94,1.158
"indexF1_R",0.965,0.94,0.86849993
"indexF2_R",0.965,0.94,1.2544999
"indexF3_R",0.965,0.94,1.2544999
"thumb1_R",0.965,0.94,0.86849993
"thumb2_R",0.965,0.94,1.1097499
"thumb3_R",0.965,0.94,1.1097499
"ringF1_R",0.965,0.94,0.86849993
"ringF2_R",0.965,0.94,1.2544999
"ringF3_R",0.965,0.94,1.2544999
"wristTwist_R",0.965,0.94,1.0615
"elbowTwist_R",0.965,0.94,0.965
"shoulderPad_R",0.965,0.94,0.965
"collar_L",0.86849993,0.47,0.579
"collar_R",0.86849993,0.47,0.579
"pelvis",0.965,0.94,0.965
"leg_L",0.89745,0.94,0.965
"knee_L",0.965,0.8742,0.965
"ankle_L",0.965,0.96819997,0.965
"heel_L",0.965,1.1139,0.91674995
"ball_L",0.965,0.94,0.965
"toe_L",0.965,0.94,0.965
"leg_R",0.89745,0.94,0.965
"knee_R",0.965,0.8742,0.965
"ankle_R",0.965,0.96819997,0.965
"heel_R",0.965,1.1139,0.91674995
"ball_R",0.965,0.94,0.965
"toe_R",0.965,0.94,0.965
"13317509213483944759",0.89745,0.94,0.965
"9820701141912941043",0.89745,0.94,0.965
"12737079489524968539",0.89745,0.94,0.965
"9248245145332160159",0.89745,0.94,0.965
